Building Number,ADDRESS,Block #,Red Tags,TAG_COLOR,Building Use,Building Area (sqft),Year Built,Age (years),Value ($),Permit Issued Date,Permit Finaled Date,Time Interval (days),Time Interval (months),INITIAL_DAMAGE_DESCRIPTION,Chimney,Foundation,Damage State,Latitude,Longitude,PH_ENGLISH,PH_NO18UNDER,PASIAN,PHISLAT,PAFRICAN,INCOME,PHU_OWNED,PHIGHSCH_DIPLOMA,,
397,3305 TWIN OAKS DR,West,0,Yellow,Residential,2159,1983,33,"$909,800",12/15/14,1/21/15,36,1.2,Keep area clear around chimney,1,0,2,38.296661,-122.337975,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
398,3308 TWIN OAKS DR,West,0,Yellow,Residential,1761,1983,33,"$644,900",NaN,NaN,NaN,NaN,Keep area clear around chimney,1,0,2,38.296269,-122.337444,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
399,1006 STONEBRIDGE DR,West,0,Yellow,Residential,1503,1984,32,"$733,400",9/23/14,10/21/14,28,0.9,Chimney fallen down,0,0,2,38.29548,-122.337429,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
400,1007 STONEBRIDGE DR,West,0,Yellow,Residential,1761,1984,32,"$628,700",9/3/14,10/9/14,36,1.2,Damaged chimney - moderate damage,1,0,2,38.295372,-122.338161,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
401,1005 ALPINE CT,West,0,Yellow,Residential,2159,1984,32,"$784,800",12/10/14,9/9/15,269,9.0,do not occupy or utilize areas adjacent to damaged/protruding plaster/stucco,0,0,2,38.294925,-122.338795,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
402,3229 STONEBRIDGE CT,West,0,Yellow,Residential,2396,1983,33,"$821,100",9/30/14,12/22/14,82,2.7,Separation between chimney and building wall - moderate damage,1,0,2,38.29458,-122.338836,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
403,1089 STONEBRIDGE DR,West,0,Yellow,Residential,2858,1986,30,"$1,052,900",9/4/14,10/2/14,28,0.9,Attached garage structure damaged and leaning,0,0,2,38.29706,-122.33522,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
404,1083 STONEBRIDGE DR,West,0,Yellow,Residential,3334,1986,30,"$1,257,200",NaN,NaN,NaN,NaN,Interior drywall cracking in multiple rooms exterior fndn crack @ rear corner. No entry restrictions OK to occupy,0,0,2,38.296239,-122.334694,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
405,1028 STONEBRIDGE DR,West,0,Yellow,Residential,1761,1984,32,"$696,400",2/24/15,3/18/15,24,0.8,Chimney fallen down,0,0,2,38.293701,-122.336657,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
406,1040 STONEBRIDGE DR,West,0,Yellow,Residential,2042,1987,29,"$726,600",9/2/14,expired on 3/1/15,NaN,NaN,Chimney fell on roof,0,0,2,38.29336,-122.335395,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
407,1051 STONEBRIDGE DR,West,0,Yellow,Residential,2397,1984,32,"$828,100",1/30/15,3/5/15,35,1.2,"Chimney leaning toward yard, keep outside area around chimney clear",1,0,2,38.293269,-122.333878,100,82.60869565,3.54978355,2.077922078,0,47946,82.23062382,88.88888889,,
408,3360 SOLANO AVE,Central,0,Yellow,Commercial,30000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Facility is without domestic water services/water heater requires bracing. Pool pump pipes damaged and out of service,0,0,2,38.319369,-122.309009,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
409,2025 REDWOOD RD,Central,0,Yellow,Commercial,15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN," brick siding collapse at front; construction/demo in progress, unable to assesses site 1, 2, 3, 4, 5, 6, 8",0,0,2,38.320375,-122.311468,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
410,3369 SOLANO AVE,Central,0,Yellow,Commercial,800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Floor buckling. Premise is vacant and for rent. No interior inspection.,0,0,2,38.319149,-122.309273,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
411,3379 SOLANO AVE,Central,0,Yellow,Commercial,5600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Collapse, partial collapse, or building off foundation (Wine Shipping)",0,1,2,38.319186,-122.310113,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
412,2007 REDWOOD RD,Central,0,Yellow,Commercial,12000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,(Starbucks) Cracks across wall and soffits. Fire sprinkler system in service,0,0,2,38.320538,-122.310642,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
413,2198 JANETTE DR,Central,0,Yellow,Residential,1015,1954,62,"$347,100",NaN,NaN,NaN,NaN,"chimney leaning away from bldg, keep away from this area",1,0,2,38.315994,-122.312596,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
414,2 EDITH CT,Central,0,Yellow,Residential,1487,1954,62,"$462,600",NaN,NaN,NaN,NaN,severe cracking at roofline; collapse hazard - use caution around fireplace and do not use,0,0,2,38.315191,-122.310671,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
415,2030 W PUEBLO AVE,Central,0,Yellow,Residential,1451,1965,51,"$434,200",2/18/15,expired on 3/24/16,NaN,NaN,Cracked roof. No overnight occupancy. Occupancy only to remove contents until repaired,0,0,3,38.314239,-122.308692,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
416,3035 SOLANO AVE,Central,0,Yellow,Residential,2500,NaN,NaN,NaN,12/1/14,expired on 11/8/15,NaN,NaN,front wall & veneer out of plumb - do not occ front offices (3045),0,0,2,38.314639,-122.307558,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
417,7 BURNETTE CT,Central,0,Yellow,Residential,1106,1954,62,"$393,800",NaN,NaN,NaN,NaN,"chimney cracked at roof line, avoid side yard until hazard is mitigated",1,0,2,38.314828,-122.307982,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
418,3 BURNETTE CT,Central,0,Yellow,Residential,1106,1954,62,"$393,900",1/6/15,3/13/15,67,2.2,"chimney broken at roof line, please avoid side yard until hazard is mitigated",1,0,2,38.315042,-122.308017,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
419,1 BURNETTE CT,Central,0,Yellow,Residential,1106,1954,62,"$372,800",NaN,NaN,NaN,NaN,"chimney broken at roof line, avoid side yard until hazard is mitigated",1,0,2,38.315237,-122.308161,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
420,11 BURNETTE CT,Central,0,Yellow,Residential,1106,1954,62,"$410,200",NaN,NaN,NaN,NaN,"chimney broken at roofline, avoid yard area adjacent to chimney until hazard is mitigated",1,0,2,38.314637,-122.308319,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
421,19 BURNETTE CT,Central,0,Yellow,Residential,1106,1954,62,"$409,300",3/3/15,4/10/15,37,1.2,"chimney broken at roofline, avoid area under fireplace until hazard is mitigated",1,0,2,38.31493,-122.30854,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
422,2035 DELPHA DR,Central,0,Yellow,Residential,1453,1954,62,"$483,800",NaN,NaN,NaN,NaN,"chimney broken at roofline, avoid using side yard near chimney until hazard is mitigated",1,0,2,38.315121,-122.308743,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
423,3 MARGO CT,Central,0,Yellow,Residential,2400,NaN,NaN,NaN,3/9/16,expired on 11/19/16,NaN,NaN,"Patio roof currently detached and unbraced, moves when pushed.Patio structure access restricted during high wind or ground motion",0,0,2,38.314729,-122.309628,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
424,2071 DELPHA DR,Central,0,Yellow,Residential,1332,1954,62,"$344,280",NaN,NaN,NaN,NaN,"chimney broken at roofline, avoid side yard near chimney until hazard is mitigated",1,0,2,38.314981,-122.309555,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
425,23 MARGO CT,Central,0,Yellow,Residential,2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"chimney cracked and leaning - needs repair ASAP - crack in ceiling in hall, water valve leaking in shower ",1,0,2,38.314457,-122.310121,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
426,5 EDITH CT,Central,0,Yellow,Residential,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,crack in ceiling near head beam connection - check ceiling joist to beam connections,0,0,2,38.314368,-122.310345,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
427,3 EDITH CT,Central,0,Yellow,Residential,1106,1954,62,"$403,700",NaN,NaN,NaN,NaN,"Top portion of chimney has brocken above roof line, avoid area around chimney at side yard",1,0,2,38.314609,-122.310442,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
428,1 EDITH CT,Central,0,Yellow,Residential,2200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,chimney cracked at roofline - do not use fireplace - use caution exterior of fireplace,1,0,2,38.314788,-122.310566,89.19449902,61.29666012,0,75.83929554,0,16832,50.88408644,66.81534344,,
429,3178 LINDA VISTA AVE,Central,0,Yellow,Residential,1406,1970,46,"$529,300",NaN,NaN,NaN,NaN,Front porch collapsed; already been repaired. Need permit,0,0,1,38.315575,-122.316771,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
430,2224 PAMELA DR,Central,0,Yellow,Residential,1042,1956,60,"$414,100",NaN,NaN,NaN,NaN,top of chimney broken - avoid area of side yard near chimney until hazard is mitigated,1,0,2,38.319259,-122.314164,97.58454106,65.94202899,1.018181818,43.70909091,0,25429,59.42028986,80.30127462,,
431,3000 DONNA DR,Central,0,Yellow,Residential,1522,1965,51,"$519,300",2/25/15,3/3/15,8,0.3,chimney separated from structure - residence OK to occupy,1,0,2,38.311924,-122.319679,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
432,3027 DONNA DR,Central,0,Yellow,Residential,1753,1965,51,"$584,900",1/27/15,2/25/15,28,0.9,"No use of garage & dining rm, except to redrive things. (could not get access to backyard, owner describes wooddeck has disorders. No access use",0,0,2,38.312382,-122.320688,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
433,1525 ANDREA CIR,Central,0,Yellow,Residential,1551,1974,42,"$549,500",NaN,NaN,NaN,NaN,chimney separated from roof and bed join separation,1,0,2,38.312712,-122.319692,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
434,3042 DONNA DR,Central,0,Yellow,Residential,1327,1965,51,"$503,400",5/19/15,expired on 11/18/16,NaN,NaN,Chimney cracked - moderate damage,0,0,2,38.312971,-122.320777,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
435,3049 BAYWOOD LN,Central,0,Yellow,Residential,1691,1971,45,"$562,500",9/11/15,expired on 5/11/16,NaN,NaN,chimney above roofline fallen - do not use fireplace - stay away from falling hazard,1,0,2,38.313246,-122.319072,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
436,1561 BAYWOOD LN,Central,0,Yellow,Residential,1578,1958,58,"$528,200",NaN,NaN,NaN,NaN,chimney removed to roof line,1,0,2,38.314466,-122.319965,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
437,1563 BAYWOOD LN,Central,0,Yellow,Residential,1590,1956,60,"$538,800",1/5/15,5/7/15,122,4.1,chimney damaged and taken down to roofline - OK to occ residence,1,0,2,38.314406,-122.320285,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
438,1565 BAYWOOD LN,Central,1,Red,Residential,878,1951,65,"$482,800",NaN,NaN,NaN,NaN,partial bldg collapse (attached structure),0,0,4,38.314351,-122.320577,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
439,1567 BAYWOOD LN,Central,0,Yellow,Residential,1245,1951,65,"$504,800",9/17/14,9/30/14,13,0.4,chimney on ground - owner to infill with framing - OK to occ home,1,0,2,38.314296,-122.32087,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
440,2515 MACLENNAN ST,Central,0,Yellow,Residential,1972,1972,44,"$592,900",10/2/14,expired on 12/20/15,NaN,NaN,"do not use masonry fireplace, inspect fireplace, repair damaged exterior masonry, replace damaged sheetrook near interior stairway",0,0,2,38.315195,-122.322592,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
441,2463 MACLENNAN ST,Central,0,Yellow,Residential,1348,1967,49,"$490,100",NaN,NaN,NaN,NaN,chimney down at roofline - stay clear of falling brick - do not use fireplace,1,0,2,38.315569,-122.320542,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
442,2447 MACLENNAN ST,Central,0,Yellow,Residential,1469,1968,48,"$516,500",2/25/15,3/13/15,18,0.6,fireplace damage above roof removed,0,0,2,38.31571,-122.319707,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
443,3200 MACFADDEN ST,Central,0,Yellow,Residential,1348,1968,48,"$495,100",9/27/14,5/22/15,235,7.8,chimney area hazard - engr req,1,0,2,38.316102,-122.318775,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
444,3209 MACFADDEN ST,Central,0,Yellow,Residential,1725,1968,48,"$544,800",NaN,NaN,NaN,NaN,chimney area hazard - engr req,1,0,2,38.316321,-122.31947,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
445,3218 MACFADDEN ST,Central,0,Yellow,Residential,1348,1967,49,"$493,300",11/4/14,11/25/14,21,0.7,chimney area hazard - engr req,1,0,2,38.316597,-122.318963,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
446,3230 MACFADDEN ST,Central,0,Yellow,Residential,1469,1967,49,"$515,200",9/26/14,10/1/14,5,0.2,chimney area hazard - engr req,1,0,2,38.31691,-122.319106,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
447,3241 MACFADDEN ST,Central,0,Yellow,Residential,1469,1969,47,"$474,600",2/26/15,3/23/15,27,0.9,Horizontal cracks in foundation on S-side. Cracked mortar in chimney @ roofline on W-side,1,1,3,38.316964,-122.319657,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
448,3249 MACFADDEN ST,Central,0,Yellow,Residential,1348,1969,47,"$491,900",5/19/15,6/11/15,22,0.7,chimney area hazard - engr req,1,0,2,38.317131,-122.319704,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
449,3268 MACFADDEN ST,Central,0,Yellow,Residential,1348,1969,47,"$457,300",10/7/14,10/20/14,13,0.4,chimney area hazard - engr req,1,0,2,38.317741,-122.319945,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
450,2464 MACLENNAN ST,Central,0,Yellow,Residential,1469,1967,49,"$517,000",NaN,NaN,NaN,NaN,chimney down at roofline - stay clear of falling brick - do not use fireplace,1,0,2,38.315985,-122.32073,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
451,2458 MACLENNAN ST,Central,0,Yellow,Residential,1348,1969,47,"$492,700",12/1/14,1/15/15,44,1.5,chimney down at roofline - stay clear of falling brick - do not use fireplace,1,0,2,38.316025,-122.320495,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
452,3232 MACBETH ST,Central,0,Yellow,Residential,1469,1967,49,"$513,400",NaN,NaN,NaN,NaN,damage to chimney stack - remove to roof line and repair - OK to occupy,1,0,2,38.316372,-122.320786,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
453,3280 MACLEOD ST,Central,0,Yellow,Residential,1457,1964,52,"$511,700",10/22/14,1/22/15,90,3.0,chimney separating at house - mortar cracked at roofline - remove down to smoke box - repair,1,0,2,38.316594,-122.321765,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
454,3308 MACBETH ST,Central,0,Yellow,Residential,1725,1967,49,"$562,400",4/27/15,expired on 10/24/15,NaN,NaN,"damage to chimney, stack has been removed to roofline - OK to occupy",1,0,2,38.317332,-122.321097,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
455,3324 MACLEOD ST,Central,0,Yellow,Residential,1260,1961,55,"$469,500",4/30/15,expired on 6/10/16,NaN,NaN,damage to chimney on interior & exterior - stack removed to roofline - OK to occupy,1,0,2,38.317562,-122.322049,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
456,3326 MACBETH ST,Central,0,Yellow,Residential,1348,1967,49,"$499,950",NaN,NaN,NaN,NaN,chimney separation from house - remove down to 2' above smoke box,1,0,2,38.317656,-122.321163,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
457,3350 MACLEOD ST,Central,0,Yellow,Residential,1347,1961,55,"$481,500",NaN,NaN,NaN,NaN,Chimney cracked @ roof line fallen roof. Owner removed debris to roofline. Do not use or occupy area near chimney until repaired,1,0,2,38.318041,-122.322188,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
458,2453 REDWOOD RD,Central,0,Yellow,Residential,2453,1988,28,"$661,300",4/13/15,4/15/15,2,0.1,Chimney broken & removed,0,0,2,38.318753,-122.320691,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
459,3343 LINDA VISTA AVE,Central,0,Yellow,Residential,1118,1960,56,"$426,600",NaN,NaN,NaN,NaN,fireplace chimney has fallen - keep area clear of people,1,0,2,38.318633,-122.318354,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
460,2568 MACGREGOR CT,Central,0,Yellow,Residential,1553,1965,51,"$525,700",NaN,NaN,NaN,NaN,"chimney separation, collapse at roofline - remove to smoke box and repair",1,0,2,38.315968,-122.322312,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
461,2572 MACGREGOR CT,Central,0,Yellow,Residential,1553,1965,51,"$528,300",6/18/15,expired on 12/15/15,NaN,NaN,chimney separated & collapsed at roofline - remove down to smoke box & repair,1,0,2,38.316003,-122.322102,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
462,2501 MACGREGOR CT,Central,0,Yellow,Residential,1080,1963,53,"$427,800",1/12/15,expired on 12/26/15,NaN,NaN,"chimney damage, cracked, pulled away from home - remove stack to smoke box",1,0,2,38.317177,-122.322443,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
463,2505 MACMILLAN ST,Central,0,Yellow,Residential,1080,1963,53,"$450,500",9/9/14,expired on 3/8/15,NaN,NaN,total collapse of brick chimney above roof line - do not use fireplace,1,0,2,38.317824,-122.322854,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
464,3353 MACALL CT,Central,0,Yellow,Residential,1575,1970,46,"$523,500",NaN,NaN,NaN,NaN,"chimney cracked & leaning, remove to roofline & repair",1,0,2,38.317024,-122.324653,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
465,3365 MACDONALD ST,Central,0,Yellow,Residential,1080,1963,53,"$417,300",4/22/15,4/28/15,6,0.2,chimney down at roofline,1,0,2,38.317205,-122.324701,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
466,3365 MACLEOD ST,Central,0,Yellow,Residential,1107,1960,56,"$442,600",NaN,NaN,NaN,NaN,damage to chimney - stack removed to below roof line - OK to occupy,1,0,2,38.318229,-122.322816,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
467,3393 MACLEOD ST,Central,0,Yellow,Residential,1107,1960,56,"$444,200",6/19/15,expired on 12/22/15,NaN,NaN,chimney collapse at/above roofline - OK to occupy,1,0,2,38.318578,-122.322916,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
468,2505 REDWOOD RD,Central,0,Yellow,Residential,1215,1960,56,"$424,600",11/17/14,4/15/15,148,4.9,Minor crack in foundation entry way. Crack in chimney will need to be repaired (exterior),1,1,3,38.31849,-122.323177,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
469,2509 REDWOOD RD,Central,0,Yellow,Residential,1107,1960,56,"$436,600",NaN,NaN,NaN,NaN,"Cracking of stucco @ wall of fndn connection is minor , recommend structural Eng. Inspection. Needs chimney sweep inspection. Do not use fireplace",1,0,2,38.318456,-122.323408,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
470,2515 REDWOOD RD,Central,0,Yellow,Residential,1523,1960,56,"$489,200",NaN,NaN,NaN,NaN,"Backyard patio cover posts unacnchored & split,no access under patio cover until repaired.",0,0,2,38.318415,-122.323596,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
471,2531 REDWOOD RD,Central,0,Yellow,Residential,1107,1960,56,"$434,500",NaN,NaN,NaN,NaN,chimney broken at roof line,1,0,1,38.318288,-122.324433,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
472,2649 BASSWOOD CT,West,0,Yellow,Residential,2250,1973,43,"$695,100",NaN,NaN,NaN,NaN,chimney above roofline - in process of removing,1,0,2,38.316398,-122.327203,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
473,2675 REDWOOD RD,West,0,Yellow,Residential,1938,1953,63,"$706,000",NaN,NaN,NaN,NaN,"chimney cracked and pulling away from house - 2"" separation at top",1,0,2,38.317188,-122.331253,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
474,2 HAZELWOOD DR,West,0,Yellow,Residential,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,damage to building rock veneer and chimney,1,0,2,38.311273,-122.322872,98.16513761,73.70030581,0,6.701030928,0,56206,88.37920489,87.35244519,,
475,3 SKYCREST WAY,West,0,Yellow,Residential,3037,1988,28,"$924,500",1/9/15,3/16/15,67,2.2,stay clear of garage area (displacement) between house and garage - eng to review foundation crack,0,1,3,38.311025,-122.327531,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
476,2845 CARLOS ST,Central,0,Yellow,Residential,2428,1969,47,"$681,800",NaN,NaN,NaN,NaN,floor center supports have moved off piers under house - must be reinstalled & secured,0,0,2,38.31107,-122.318102,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
477,2316 ROBERTO ST,Central,0,Yellow,Residential,1243,1956,60,"$455,600",5/6/15,expired on 2/20/16,NaN,NaN,lower portion fireplace cracked & some displacement,0,0,1,38.310738,-122.316795,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
478,2300 W PARK AVE,Central,0,Yellow,Residential,1243,1956,60,"$453,100",NaN,NaN,NaN,NaN,"chimney at side yard, already broke down to roof line",1,0,2,38.310196,-122.315839,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
479,2308 W PARK AVE,Central,0,Yellow,Residential,1342,1956,60,"$484,700",NaN,NaN,NaN,NaN,"chimney fell in side yard, all bricks already removed",1,0,2,38.310125,-122.316221,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
480,2348 W PARK AVE,Central,0,Yellow,Residential,2203,1953,63,"$618,000",NaN,NaN,NaN,NaN,"detached garage is leaning two directions, door will not close, windows cracked; horizontal siding appears to be only lateral support",0,0,3,38.30991,-122.317679,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
481,2480 W PARK AVE,West,0,Yellow,Residential,1877,1951,65,"$1,028,500",NaN,NaN,NaN,NaN,"conc tiles partially displaced on roof, mailbox column at entry 6' tall with 2"" displacement - restrict access around roof and mailbox",0,0,2,38.309378,-122.320933,97.92243767,75.90027701,2.33029382,22.99898683,0,25805,53.04709141,82.96774194,,
482,1145 PINEWOOD DR,West,0,Yellow,Residential,2469,1981,35,"$758,800",NaN,NaN,NaN,NaN,separate of corner framing,0,0,2,38.309855,-122.32742,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
483,1175 AUSTIN WAY,West,0,Yellow,Residential,2156,1977,39,"$688,700",1/29/15,2/5/15,6,0.2,Upper portion of chimney collapse.,1,0,2,38.309365,-122.328464,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
484,1157 AUSTIN WAY,West,0,Yellow,Residential,2156,1977,39,"$717,100",11/7/14,expired on 5/6/15,NaN,NaN,do not use fireplace stay away from areas around fireplace.,0,0,2,38.308925,-122.328544,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
485,3078 ARDEN WAY,West,0,Yellow,Residential,2460,1976,40,"$767,200",NaN,NaN,NaN,NaN,"crack in chimney, should be inspected",1,0,1,38.308502,-122.324316,98.16513761,73.70030581,0,6.701030928,0,56206,88.37920489,87.35244519,,
486,3317 ANITA CT,West,0,Yellow,Residential,2055,1977,39,"$707,100",NaN,NaN,NaN,NaN,roof at living room damaged-further inspection required/joist in hallway damaged,0,0,2,38.308479,-122.331724,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
487,3325 CRAIGIE CT,West,0,Yellow,Residential,1827,1976,40,"$654,000",NaN,NaN,NaN,NaN,"Drive way slab damaged, cracked & damage. Restricted to use",0,0,2,38.307686,-122.332655,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
488,3323 CRAIGIE CT,West,0,Yellow,Residential,2565,1976,40,"$786,600",5/19/15,expired on 4/19/16,NaN,NaN,cracks in chimney/floor joists sagging/cracking stucco in rear,1,0,1,38.307687,-122.332401,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
489,3367 SUNVIEW DR,West,0,Yellow,Residential,2565,1976,40,"$801,900",10/27/14,11/5/14,8,0.3,"minor lower cracks in chimney, top of chimney at roofline twisted and separated",1,0,2,38.306874,-122.332082,100,72.47119078,4.291224687,13.06653809,0,43969,88.98847631,93.91117479,,
490,1048 BANBURY CT,West,0,Yellow,Residential,2469,1980,36,"$800,400",9/12/14,expired on 3/11/15,NaN,NaN,Cracked chimney,1,0,1,38.304886,-122.32753,98.16513761,73.70030581,0,6.701030928,0,56206,88.37920489,87.35244519,,
491,1040 LARKIN WAY,West,0,Yellow,Residential,1976,1963,53,"$632,700",NaN,NaN,NaN,NaN,Cracked chimney,1,0,1,38.305705,-122.324791,98.16513761,73.70030581,0,6.701030928,0,56206,88.37920489,87.35244519,,
492,2499 CREEKSIDE AVE,West,0,Yellow,Residential,1260,1967,49,"$471,900",10/21/14,4/18/16,537,17.9,Chimney fell over in the rear yard. Cracking in stucco at foundation in the front.,0,1,2,38.307233,-122.319647,96.24796085,64.11092985,2.034709755,29.26391382,0,34585,67.21044046,79.20203735,,
